name;price;unit_price;ean;nutriscore;promo;url
Fromage La Brique Fondante Et Crémeuse CARREFOUR;1,89 €;9.45 € / KG;3245411692834;D;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-la-brique-fondante-et-cremeuse-carrefour-3245411692834?t=36993
Crème dessert chocolat NESQUIK;1,69 €;4.69 € / KG;3023290007310;;;https://www.carrefour.fr/p/creme-dessert-chocolat-nesquik-3023290007310
Fromage Cœur Complice CARREFOUR;1,99 €;9.95 € / KG;3270190021261;;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-coeur-complice-carrefour-3270190021261?t=36993
Fromage Le Pavé Ocre CARREFOUR;2,39 €;10.86 € / KG;3270190026082;D;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-le-pave-ocre-carrefour-3270190026082?t=36993
Fromage Parmigiano Reggiano AOP 30 mois d'affinage CARREFOUR;5,52 €;34.50 € / KG;3276559943687;;;https://www.carrefour.fr/p/fromage-parmigiano-reggiano-aop-30-mois-d-affinage-carrefour-3276559943687?t=36993
Yaourt aromatisé sur lit de fraise pêche mangue passion framboise PERLE DE LAIT YOPLAIT;3,89 €;3.89 € / KG;3329770079243;;;https://www.carrefour.fr/p/yaourt-aromatise-sur-lit-de-fraise-peche-mangue-passion-framboise-perle-de-lait-yoplait-3329770079243
Fromage tartiflette CARREFOUR;3,89 €;7.78 € / KG;3560070252114;D;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-tartiflette-carrefour-3560070252114?t=36993
Fromage de Chèvre Au Lait de Vache et de Chévre CARREFOUR;1,69 €;9.39 € / KG;3560070530564;D;;https://www.carrefour.fr/p/fromage-de-chevre-au-lait-de-vache-et-de-chevre-carrefour-3560070530564?t=36993
Fromage en Tranches à Raclette classique CARREFOUR;5,65 €;11.77 € / KG;3560070753833;D;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/fromage-en-tranches-a-raclette-classique-carrefour-3560070753833?t=36993
Fromage en Tranches à Raclette 3 Poivres CARREFOUR;3,75 €;15.00 € / KG;3560070753925;D;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/fromage-en-tranches-a-raclette-3-poivres-carrefour-3560070753925?t=36993
Fromage en Tranches à Raclette Au Lait Entier CARREFOUR;4,19 €;11.97 € / KG;3560070818105;;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/fromage-en-tranches-a-raclette-au-lait-entier-carrefour-3560070818105?t=36993
Yaourt aux fruits mixés pêche mangue abricot DANONE VELOUTE;2,69 €;2.69 € / KG;3033491579745;;;https://www.carrefour.fr/p/yaourt-aux-fruits-mixes-peche-mangue-abricot-danone-veloute-3033491579745
Fromage Le Tendre Créme CARREFOUR;2,35 €;9.40 € / KG;3560070851683;D;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-le-tendre-creme-carrefour-3560070851683?t=36993
Fromage de Brebis CARREFOUR;1,85 €;18.50 € / KG;3560070899869;;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-de-brebis-carrefour-3560070899869?t=36993
Fromage en Tranches à Raclette Classique Et 3 Poivres CARREFOUR;5,59 €;13.98 € / KG;3560070910571;D;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/fromage-en-tranches-a-raclette-classique-et-3-poivres-carrefour-3560070910571?t=36993
Yaourts nature DANONE;1,95 €;1.95 € / KG;3033490004514;;;https://www.carrefour.fr/p/yaourts-nature-danone-3033490004514
Fromage en Tranches à Raclette Fumée CARREFOUR;3,79 €;15.16 € / KG;3560070910601;D;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/fromage-en-tranches-a-raclette-fumee-carrefour-3560070910601?t=36993
