name;price;unit_price;ean;nutriscore;promo;url
Camembert CŒUR DE LION;2,99 €;12.46 € / KG;3437331009889;;;https://www.carrefour.fr/p/camembert-coeur-de-lion-3437331009889?t=36999
Fromage Carré du Père Antoine Nature HAXAIRE;5,15 €;22.39 € / KG;3450887002012;;;https://www.carrefour.fr/p/fromage-carre-du-pere-antoine-nature-haxaire-3450887002012?t=36999
Fromage à fondue Suisse VACHERIN FRIBOURGEOIS;14,90 €;37.25 € / KG;3463342703690;U;;https://www.carrefour.fr/p/fromage-a-fondue-suisse-vacherin-fribourgeois-3463342703690?t=36999
Fromage Tête de Moine;18,50 €;44.05 € / KG;3463342716010;U;;https://www.carrefour.fr/p/fromage-tete-de-moine-3463342716010?t=36999
Fromage rosette de Tête de moine AOP;7,50 €;75.00 € / KG;3463342719202;U;;https://www.carrefour.fr/p/fromage-rosette-de-tete-de-moine-aop-3463342719202?t=36999
Reblochon Au Lait Cru AOP L'ALPAGE;8,89 €;19.76 € / KG;3475522705059;U;;https://www.carrefour.fr/p/reblochon-au-lait-cru-aop-l-alpage-3475522705059?t=36999
Fromage mini Mont d'Or AOP LES MONTS DE JOUX;10,50 €;26.25 € / KG;3476810000702;U;;https://www.carrefour.fr/p/fromage-mini-mont-d-or-aop-les-monts-de-joux-3476810000702?t=36999
Morbier AOP;4,72 €;18.90 € / KG;3476810003109;U;;https://www.carrefour.fr/p/morbier-aop-3476810003109?t=36999
Fromage apéritif Ail & Fines Herbes APERIVRAIS;2,09 €;20.90 € / KG;3480341000261;;;https://www.carrefour.fr/p/fromage-aperitif-ail-fines-herbes-aperivrais-3480341000261?t=36999
Fromage apéritif Au Saint Agur APERIVRAIS;2,29 €;22.90 € / KG;3480341000605;;;https://www.carrefour.fr/p/fromage-aperitif-au-saint-agur-aperivrais-3480341000605?t=36999
Fromage apéritif Au fromage de Chèvre Chavroux APERIVRAIS;2,29 €;22.90 € / KG;3480341002579;;;https://www.carrefour.fr/p/fromage-aperitif-au-fromage-de-chevre-chavroux-aperivrais-3480341002579?t=36999
Fromage apéritif Au Cœur Oignons Caramélisés Pointe de Balsamique ST MORET;2,65 €;26.50 € / KG;3480341003279;;;https://www.carrefour.fr/p/fromage-aperitif-au-coeur-oignons-caramelises-pointe-de-balsamique-st-moret-3480341003279?t=36999
Fromage apéritif Au Cœur de Figues ST MORET;2,59 €;25.90 € / KG;3480341003293;;;https://www.carrefour.fr/p/fromage-aperitif-au-coeur-de-figues-st-moret-3480341003293?t=36999
Fromage à pâte persillée LE COQ;4,19 €;20.95 € / KG;3480341004368;;;https://www.carrefour.fr/p/fromage-a-pate-persillee-le-coq-3480341004368?t=36999
Fromage Bresse Bleu BRESSE BLEU;2,29 €;16.36 € / KG;3480341004764;;;https://www.carrefour.fr/p/fromage-bresse-bleu-bresse-bleu-3480341004764?t=36999
Fromage apéritif Noix, Noisettes et Amandes Croquantes APERIVRAIS;2,15 €;21.50 € / KG;3480342917834;D;;https://www.carrefour.fr/p/fromage-aperitif-noix-noisettes-et-amandes-croquantes-aperivrais-3480342917834?t=36999
Fromage Frais;4,75 €;14.84 € / KG;3480342924504;U;;https://www.carrefour.fr/p/fromage-frais-3480342924504?t=36999
Fromage apéritif Saveurs de Grèce APERIVRAIS;2,29 €;22.90 € / KG;3480343041002;;;https://www.carrefour.fr/p/fromage-aperitif-saveurs-de-grece-aperivrais-3480343041002?t=36999
Fromage Bio en Tranches Gouda BIONATURE;2,75 €;18.33 € / KG;3481300334144;U;;https://www.carrefour.fr/p/fromage-bio-en-tranches-gouda-bionature-3481300334144?t=36999
Fromage Bio en Tranches Cheddar BIONATURE;3,69 €;24.60 € / KG;3481300334168;U;;https://www.carrefour.fr/p/fromage-bio-en-tranches-cheddar-bionature-3481300334168?t=36999
Fromage cœur Neufchâtel au lait cru AOP ALLEAUME;2,99 €;14.95 € / KG;3486892000064;D;;https://www.carrefour.fr/p/fromage-coeur-neufchatel-au-lait-cru-aop-alleaume-3486892000064?t=36999
Fromage double bonde Neufchâtel Artisanal AOP ALLEAUME;2,95 €;14.75 € / KG;3486892000088;U;;https://www.carrefour.fr/p/fromage-double-bonde-neufchatel-artisanal-aop-alleaume-3486892000088?t=36999
Reblochon Au Lait Cru AOP;7,95 €;17.67 € / KG;3489450003200;U;;https://www.carrefour.fr/p/reblochon-au-lait-cru-aop-3489450003200?t=36999
Fromage plateaux 5 variétés SAVEURS DE TERROIRS;5,95 €;19.83 € / KG;3492846078003;D;;https://www.carrefour.fr/p/fromage-plateaux-5-varietes-saveurs-de-terroirs-3492846078003?t=36999
Fromage carré d'Aurillac SAINT FLOUR;3,99 €;19.95 € / KG;3492847567001;D;;https://www.carrefour.fr/p/fromage-carre-d-aurillac-saint-flour-3492847567001?t=36999
Fromage Tomme au Lait de Vache LES ELEVEURS DU SUD OUEST;3,75 €;20.83 € / KG;3492848070005;;;https://www.carrefour.fr/p/fromage-tomme-au-lait-de-vache-les-eleveurs-du-sud-ouest-3492848070005?t=36999
Fromage de Vache Bethmale LES ELEVEURS DU SUD OUEST;4,65 €;25.83 € / KG;3492848071002;;;https://www.carrefour.fr/p/fromage-de-vache-bethmale-les-eleveurs-du-sud-ouest-3492848071002?t=36999
Fromage Brique du Forez au lait pasteurisé de vache;3,35 €;16.75 € / KG;3499070292007;;;https://www.carrefour.fr/p/fromage-brique-du-forez-au-lait-pasteurise-de-vache-3499070292007?t=36999
