name;price;unit_price;ean;nutriscore;promo;url
Abricots moelleux SIMPL;2,89 €;14.45 € / KG;3560071492021;A;;https://www.carrefour.fr/p/abricots-moelleux-simpl-3560071492021?t=1882
Airelles;2,50 €;12.50 € / KG;3276550230106;;;https://www.carrefour.fr/p/airelles-3276550230106?t=1882
Ananas extra sweet FLORETTE IDEES FRAICHES;2,90 €;14.50 € / KG;3280221512224;A;;https://www.carrefour.fr/p/ananas-extra-sweet-florette-idees-fraiches-3280221512224?t=1882
Ananas en morceaux CARREFOUR LE MARCHE;2,50 €;10.00 € / KG;3560071434915;;-15% MARDI PASS;https://www.carrefour.fr/p/ananas-en-morceaux-carrefour-le-marche-3560071434915?t=1882
Ananas en tranches CARREFOUR LE MARCHE;4,50 €;9.00 € / KG;3560071434946;;-15% MARDI PASS;https://www.carrefour.fr/p/ananas-en-tranches-carrefour-le-marche-3560071434946?t=1882
Ananas en morceaux CARREFOUR LE MARCHE;3,50 €;8.75 € / KG;3560071434977;;-15% MARDI PASS;https://www.carrefour.fr/p/ananas-en-morceaux-carrefour-le-marche-3560071434977?t=1882
Ananas Victoria;5,39 €;5.39 € / U;3000001033240;;;https://www.carrefour.fr/p/ananas-victoria-3000001033240?t=1882
Ananas Sans Plumet CARREFOUR;2,99 €;2.99 € / U;3276553677106;;;https://www.carrefour.fr/p/ananas-sans-plumet-carrefour-3276553677106?t=1882
Ananas Pain Sucre;5,59 €;5.59 € / U;3276558494302;;;https://www.carrefour.fr/p/ananas-pain-sucre-3276558494302?t=1882
Ananas Bio Extra Sweet CARREFOUR;3,99 €;3.99 € / U;3523680409248;;;https://www.carrefour.fr/p/ananas-bio-extra-sweet-carrefour-3523680409248?t=1882
Ananas en morceaux Vertufood;3,86 €;15.44 € / KG;3760269710993;A;;https://www.carrefour.fr/p/ananas-en-morceaux-vertufood-3760269710993?t=1882
Assortiment de fruits rouges et son sachet de coulis;8,89 €;22.79 € / KG;3276558436265;;;https://www.carrefour.fr/p/assortiment-de-fruits-rouges-et-son-sachet-de-coulis-3276558436265?t=1882
Baby kiwi à grignoter NERGI;2,00 €;16.00 € / KG;3276558855233;;;https://www.carrefour.fr/p/baby-kiwi-a-grignoter-nergi-3276558855233?t=1882
Banane des Antilles;1,35 €;2.50 € / KG;3347761000649;;;https://www.carrefour.fr/p/banane-des-antilles-3347761000649?t=1882
Banane des Antilles;1,80 €;2.50 € / KG;3347761000656;;;https://www.carrefour.fr/p/banane-des-antilles-3347761000656?t=1882
Banane des Antilles;2,25 €;2.50 € / KG;3347761000663;;;https://www.carrefour.fr/p/banane-des-antilles-3347761000663?t=1882
Banane des Antilles;2,70 €;2.50 € / KG;3347761000670;;;https://www.carrefour.fr/p/banane-des-antilles-3347761000670?t=1882
Bananes Cavendish vrac;1,99 €;1.99 € / KG;3000000033272;;;https://www.carrefour.fr/p/bananes-cavendish-vrac-3000000033272?t=1882
Bananes des Antilles;1,99 €;1.99 € / U;3276558453750;;-15% MARDI PASS;https://www.carrefour.fr/p/bananes-des-antilles-3276558453750?t=1882
Bananes Cavendish vrac;1,99 €;1.99 € / KG;3276552310479;;;https://www.carrefour.fr/p/bananes-cavendish-vrac-3276552310479?t=1882
Bananes rose vrac;0,57 €;4.99 € / KG;3276552313012;;;https://www.carrefour.fr/p/bananes-rose-vrac-3276552313012?t=1882
Bananes plantain vrac;3,99 €;3.99 € / KG;3276552313838;;;https://www.carrefour.fr/p/bananes-plantain-vrac-3276552313838?t=1882
Bananes frécinette;3,00 €;12.00 € / KG;3276554585929;;;https://www.carrefour.fr/p/bananes-frecinette-3276554585929?t=1882
Bananes Frécinette;3,99 €;12.09 € / KG;3276554786272;;;https://www.carrefour.fr/p/bananes-frecinette-3276554786272?t=1882
Bananes Plantain jaunes vrac;3,79 €;3.79 € / KG;3276557654653;;;https://www.carrefour.fr/p/bananes-plantain-jaunes-vrac-3276557654653?t=1882
Bananes plantain verte vrac;1,02 €;3.79 € / KG;3276557654769;;;https://www.carrefour.fr/p/bananes-plantain-verte-vrac-3276557654769?t=1882
Bananes Frecinette;3,90 €;7.80 € / KG;3276558249001;;;https://www.carrefour.fr/p/bananes-frecinette-3276558249001?t=1882
Bananes Cavendish;0,73 €;0.81 € / KG;3523680237445;;;https://www.carrefour.fr/p/bananes-cavendish-3523680237445?t=1882
Bananes Bio Cavendish;1,99 €;1.99 € / U;3523680294349;;;https://www.carrefour.fr/p/bananes-bio-cavendish-3523680294349?t=1882
Bananes bio;1,99 €;0.13 € / KG;3276555403079;;-10% CLUB;https://www.carrefour.fr/p/bananes-bio-3276555403079?t=1882
Carambole;2,39 €;2.39 € / U;3000001022930;;;https://www.carrefour.fr/p/carambole-3000001022930?t=1882
Cedrat;9,29 €;9.29 € / U;3276558278919;;;https://www.carrefour.fr/p/cedrat-3276558278919?t=1882
Cerise rouge Burlat en conversion Bio Bio BURLAT;4,39 €;17.56 € / KG;3523680411265;;-10% CLUB;https://www.carrefour.fr/p/cerise-rouge-burlat-en-conversion-bio-bio-burlat-3523680411265?t=1882
Cerises rouges grosses vrac;9,99 €;9.99 € / KG;3276552272548;;;https://www.carrefour.fr/p/cerises-rouges-grosses-vrac-3276552272548?t=1882
Cerises rouges moyennes vrac;4,49 €;8.99 € / KG;3276552272555;;;https://www.carrefour.fr/p/cerises-rouges-moyennes-vrac-3276552272555?t=1882
Cerises rouges Burlat bio;4,49 €;17.96 € / KG;3276555045385;;;https://www.carrefour.fr/p/cerises-rouges-burlat-bio-3276555045385?t=1882
Cerises rouges;7,99 €;13.32 € / KG;3276555056077;;;https://www.carrefour.fr/p/cerises-rouges-3276555056077?t=1882
Cerises REFLETS DE FRANCE;7,49 €;12.48 € / KG;3276558272856;;;https://www.carrefour.fr/p/cerises-reflets-de-france-3276558272856?t=1882
Cerises rouges;4,99 €;9.98 € / KG;3276554539267;;;https://www.carrefour.fr/p/cerises-rouges-3276554539267?t=1882
Cerises blanches;7,69 €;15.38 € / KG;3276550171645;;;https://www.carrefour.fr/p/cerises-blanches-3276550171645?t=1882
Cerises;4,99 €;9.98 € / KG;3276550270379;;;https://www.carrefour.fr/p/cerises-3276550270379?t=1882
Cerises rouges;5,01 €;6.68 € / KG;3276551642311;;;https://www.carrefour.fr/p/cerises-rouges-3276551642311?t=1882
Cerises rouges;3,50 €;7.00 € / KG;3276552585969;;;https://www.carrefour.fr/p/cerises-rouges-3276552585969?t=1882
Cerises;13,99 €;13.99 € / KG;3276556923378;;;https://www.carrefour.fr/p/cerises-3276556923378?t=1882
Cerises Rouges;6,29 €;10.48 € / KG;3523680377981;;;https://www.carrefour.fr/p/cerises-rouges-3523680377981?t=1882
Châtaignes pelées et cuites;5,99 €;14.98 € / KG;3276554801463;A;;https://www.carrefour.fr/p/chataignes-pelees-et-cuites-3276554801463?t=1882
Chayote vrac;1,53 €;4.79 € / KG;3000000041352;;;https://www.carrefour.fr/p/chayote-vrac-3000000041352?t=1882
Citron;3,69 €;3.69 € / KG;3276558403137;;-15% MARDI PASS;https://www.carrefour.fr/p/citron-3276558403137?t=1882
Citron;3,99 €;2.00 € / KG;3276558403144;;-15% MARDI PASS;https://www.carrefour.fr/p/citron-3276558403144?t=1882
Citron jaune Primofiori Bio;1,69 €;3.38 € / KG;3523680258341;;;https://www.carrefour.fr/p/citron-jaune-primofiori-bio-3523680258341?t=1882
Citron jaune à feuille;5,19 €;5.19 € / KG;3276552301095;;;https://www.carrefour.fr/p/citron-jaune-a-feuille-3276552301095?t=1882
Citrons verts;2,49 €;4.98 € / KG;3276555375314;;Ouvrir description de la promotion 2 achetés = 4€;https://www.carrefour.fr/p/citrons-verts-3276555375314?t=1882
