name;price;unit_price;ean;nutriscore;promo;url
Café Moulu Italien Bio CAFE LAUNAY;4,09 €;16.36 € / KG;3418500007141;;;https://www.carrefour.fr/p/cafe-moulu-italien-bio-cafe-launay-3418500007141?t=39473
Café Moulu 100% Arabica Maragogype Intensité 1 COIC;5,25 €;21.00 € / KG;3424330200058;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-maragogype-intensite-1-coic-3424330200058?t=39473
Café Moulu 100% Arabica Matin Breton COIC;4,29 €;17.16 € / KG;3424330605051;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-matin-breton-coic-3424330605051?t=39473
Café Moulu 100% Arabica Couleurs de Bretagne COIC;4,55 €;18.20 € / KG;3424330900057;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-couleurs-de-bretagne-coic-3424330900057?t=39473
Café Moulu 100% Arabica Escale Bretonne COIC;3,95 €;15.80 € / KG;3424331405056;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-escale-bretonne-coic-3424331405056?t=39473
Café en Grains Ch'ti Moka 100% Arabica CAFE DU CH'TI;9,85 €;19.70 € / KG;3424400000090;;;https://www.carrefour.fr/p/cafe-en-grains-ch-ti-moka-100-arabica-cafe-du-ch-ti-3424400000090?t=39473
Café Moulu 100% Arabica CAFE DU CH'TI;5,09 €;20.36 € / KG;3424400609194;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-cafe-du-ch-ti-3424400609194?t=39473
Café Moulu Intensité 6 Brésil LE BONIFIEUR;3,95 €;15.80 € / KG;3429730007375;;;https://www.carrefour.fr/p/cafe-moulu-intensite-6-bresil-le-bonifieur-3429730007375?t=39473
Café moulu Colombie intensité 9 LE BONIFIEUR;3,95 €;15.80 € / KG;3429730015103;;;https://www.carrefour.fr/p/cafe-moulu-colombie-intensite-9-le-bonifieur-3429730015103?t=39473
Café Moulu 100% Arabica Ethiopie Intensité 8 LE BONIFIEUR;3,95 €;15.80 € / KG;3429731170092;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-ethiopie-intensite-8-le-bonifieur-3429731170092?t=39473
Café Moulu Mélange Maison TORREFACTION DES ALPES;4,69 €;18.76 € / KG;3545000000010;;;https://www.carrefour.fr/p/cafe-moulu-melange-maison-torrefaction-des-alpes-3545000000010?t=39473
Café Moulu 100% Arabica TORREFACTION ALPES;4,35 €;17.40 € / KG;3545000000034;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-torrefaction-alpes-3545000000034?t=39473
Café Moulu Moka TORREFACTION ALPES;4,19 €;16.76 € / KG;3545000000041;;;https://www.carrefour.fr/p/cafe-moulu-moka-torrefaction-alpes-3545000000041?t=39473
Café Moulu 100% Arabica Max Havelaar TORREFACTION DES ALPES;4,65 €;18.60 € / KG;3545000000126;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-max-havelaar-torrefaction-des-alpes-3545000000126?t=39473
Café Moulu Filtre 50% Arabica 50% Robusta SAXO;12,25 €;12.25 € / KG;3560070486243;;;https://www.carrefour.fr/p/cafe-moulu-filtre-50-arabica-50-robusta-saxo-3560070486243?t=39473
Café Moulu bio Pur arabica NATURELA;8,05 €;16.10 € / KG;3700110003706;;;https://www.carrefour.fr/p/cafe-moulu-bio-pur-arabica-naturela-3700110003706?t=39473
Café Moulu bio Pur arabica NATURELA;16,15 €;16.15 € / KG;3700110010414;U;;https://www.carrefour.fr/p/cafe-moulu-bio-pur-arabica-naturela-3700110010414?t=39473
Café Moulu bio Pur arabica NATURELA;4,09 €;16.36 € / KG;3700112056014;;;https://www.carrefour.fr/p/cafe-moulu-bio-pur-arabica-naturela-3700112056014?t=39473
Café Moulu bio Moka Ethiopie Pur arabica NATURELA;4,69 €;18.76 € / KG;3700112056816;U;;https://www.carrefour.fr/p/cafe-moulu-bio-moka-ethiopie-pur-arabica-naturela-3700112056816?t=39473
Café Moulu bio Pérou Pur arabica ALTER ECO;5,59 €;21.50 € / KG;3700214617090;;;https://www.carrefour.fr/p/cafe-moulu-bio-perou-pur-arabica-alter-eco-3700214617090?t=39473
Café Moulu bio Mexique Pur arabica ALTER ECO;5,59 €;21.50 € / KG;3700214617113;;;https://www.carrefour.fr/p/cafe-moulu-bio-mexique-pur-arabica-alter-eco-3700214617113?t=39473
Café Moulu bio Guatemala Pur arabica ALTER ECO;5,29 €;20.35 € / KG;3700214617120;;;https://www.carrefour.fr/p/cafe-moulu-bio-guatemala-pur-arabica-alter-eco-3700214617120?t=39473
Café Moulu bio Équilibré ALTER ECO;4,69 €;18.76 € / KG;3700214618158;;;https://www.carrefour.fr/p/cafe-moulu-bio-equilibre-alter-eco-3700214618158?t=39473
Café Moulu bio Ethiopie Pur arabica ALTER ECO;9,55 €;19.10 € / KG;3700214618967;;;https://www.carrefour.fr/p/cafe-moulu-bio-ethiopie-pur-arabica-alter-eco-3700214618967?t=39473
Café Moulu Saveur des Îles SAVINA;3,20 €;12.80 € / KG;3760049371048;;;https://www.carrefour.fr/p/cafe-moulu-saveur-des-iles-savina-3760049371048?t=39473
Café moulu Saveur Noire SAVINA;3,48 €;13.92 € / KG;3760049371086;;;https://www.carrefour.fr/p/cafe-moulu-saveur-noire-savina-3760049371086?t=39473
Café Moulu Tradition CAFES MONIKA;4,89 €;19.56 € / KG;3760065480021;;;https://www.carrefour.fr/p/cafe-moulu-tradition-cafes-monika-3760065480021?t=39473
