name;price;unit_price;ean;nutriscore;promo;url
Glace Vanilla Pecan Blondie BEN & JERRY'S;3,99 €;9.64 € / KG;8711327374256;U;;https://www.carrefour.fr/p/glace-vanilla-pecan-blondie-ben-jerry-s-8711327374256?t=2074
Glace Vanille Classic MAGNUM;3,09 €;10.30 € / KG;8711327606234;;;https://www.carrefour.fr/p/glace-vanille-classic-magnum-8711327606234?t=2074
Glace Crème Glacée Vanille De Madagascar CARTE D'OR;3,19 €;8.69 € / KG;8711327615380;;;https://www.carrefour.fr/p/glace-creme-glacee-vanille-de-madagascar-carte-d-or-8711327615380?t=2074
Glace Peanut Butter Cup BEN & JERRY'S;3,99 €;9.39 € / KG;8711327374515;;;https://www.carrefour.fr/p/glace-peanut-butter-cup-ben-jerry-s-8711327374515?t=2074
Glace Bâtonnet Mini Classic, Amande & Chocolat Blanc MAGNUM;4,09 €;16.10 € / KG;8711327609082;;;https://www.carrefour.fr/p/glace-batonnet-mini-classic-amande-chocolat-blanc-magnum-8711327609082?t=2074
Glace Chocolat Noir CARTE D'OR;3,39 €;9.06 € / KG;8711327615045;;;https://www.carrefour.fr/p/glace-chocolat-noir-carte-d-or-8711327615045?t=2074
Glace Crème Glacée Café Arabica de Colombie CARTE D'OR;3,39 €;9.06 € / KG;8711327615090;;;https://www.carrefour.fr/p/glace-creme-glacee-cafe-arabica-de-colombie-carte-d-or-8711327615090?t=2074
Glace Crème de Vanille de Madagascar CARTE D'OR;3,39 €;9.24 € / KG;8711327615229;D;;https://www.carrefour.fr/p/glace-creme-de-vanille-de-madagascar-carte-d-or-8711327615229?t=2074
Glace barre chocolatée au caramel SNICKERS;3,59 €;17.60 € / KG;5000159570602;;;https://www.carrefour.fr/p/glace-barre-chocolatee-au-caramel-snickers-5000159570602?t=2074
Dessert glacé Caramel Salé VIENNETTA;2,25 €;7.03 € / KG;8711327591011;D;;https://www.carrefour.fr/p/dessert-glace-caramel-sale-viennetta-8711327591011?t=2074
Glace Sorbet Pêche CARTE D'OR;3,89 €;8.55 € / KG;8711327679542;;;https://www.carrefour.fr/p/glace-sorbet-peche-carte-d-or-8711327679542?t=2074
Glace bâtonnet Noix de Coco Amandes RAFFAELLO;3,95 €;21.01 € / KG;8000500363492;U;;https://www.carrefour.fr/p/glace-batonnet-noix-de-coco-amandes-raffaello-8000500363492?t=2074
Glace Sundae Cookie BEN & JERRY'S;6,09 €;18.80 € / KG;8711327539624;;;https://www.carrefour.fr/p/glace-sundae-cookie-ben-jerry-s-8711327539624?t=2074
Glaces barres glacées chocolat beurre de cacahuètes et caramel SNICKERS;3,75 €;16.03 € / KG;5000159543378;U;;https://www.carrefour.fr/p/glaces-barres-glacees-chocolat-beurre-de-cacahuetes-et-caramel-snickers-5000159543378?t=2074
Glace bâtonnet Chocolat Lait Noisettes FERRERO ROCHER CLASSIC;3,95 €;19.75 € / KG;8000500363539;U;;https://www.carrefour.fr/p/glace-batonnet-chocolat-lait-noisettes-ferrero-rocher-classic-8000500363539?t=2074
Glace Bâtonnet Double Sunlover Chocolat Blanc Mangue Coco MAGNUM;3,69 €;12.30 € / KG;8711327582842;;;https://www.carrefour.fr/p/glace-batonnet-double-sunlover-chocolat-blanc-mangue-coco-magnum-8711327582842?t=2074
Glace Chocolate Fudge Brownie BEN & JERRY'S;3,85 €;9.44 € / KG;8711327370708;;;https://www.carrefour.fr/p/glace-chocolate-fudge-brownie-ben-jerry-s-8711327370708?t=2074
Glace Bâtonnet Twister Tropical MIKO;3,99 €;11.47 € / KG;8711327626997;C;;https://www.carrefour.fr/p/glace-batonnet-twister-tropical-miko-8711327626997?t=2074
Glace Sorbet Framboise CARTE D'OR;3,89 €;8.55 € / KG;8711327679597;;;https://www.carrefour.fr/p/glace-sorbet-framboise-carte-d-or-8711327679597?t=2074
Spécialité glacée NUTELLA;4,89 €;21.26 € / KG;8000500425183;U;;https://www.carrefour.fr/p/specialite-glacee-nutella-8000500425183?t=2074
Glace Spectacu-love BEN & JERRY'S;4,55 €;11.61 € / KG;8711327629394;D;;https://www.carrefour.fr/p/glace-spectacu-love-ben-jerry-s-8711327629394?t=2074
Glace Citron de Sicile CARTE D'OR;3,25 €;7.17 € / KG;8711327615274;;;https://www.carrefour.fr/p/glace-citron-de-sicile-carte-d-or-8711327615274?t=2074
Glace Bâtonnet Euphoria MAGNUM;3,55 €;17.07 € / KG;8711327623057;;;https://www.carrefour.fr/p/glace-batonnet-euphoria-magnum-8711327623057?t=2074
Glace Mini Bâtonnet Twister Ananas MIKO;3,99 €;12.79 € / KG;8711327576810;;;https://www.carrefour.fr/p/glace-mini-batonnet-twister-ananas-miko-8711327576810?t=2074
Dessert glacé Vanille VIENNETTA;2,25 €;7.03 € / KG;8000920200025;D;;https://www.carrefour.fr/p/dessert-glace-vanille-viennetta-8000920200025?t=2074
Glace Vanille Noix de Pécan Caramel Pointe de Sel CARTE D'OR;4,29 €;9.13 € / KG;8711327618428;;;https://www.carrefour.fr/p/glace-vanille-noix-de-pecan-caramel-pointe-de-sel-carte-d-or-8711327618428?t=2074
Glace bâtonnet Noix de Coco Framboise RAFAELLO TRIPLE EXPERIENCE;3,79 €;27.46 € / KG;8000500406298;U;;https://www.carrefour.fr/p/glace-batonnet-noix-de-coco-framboise-rafaello-triple-experience-8000500406298?t=2074
Glace Utopia Double Noisette MAGNUM;4,99 €;17.70 € / KG;8711327678538;;;https://www.carrefour.fr/p/glace-utopia-double-noisette-magnum-8711327678538?t=2074
Glace Brookies & Cream BEN & JERRY'S;4,69 €;12.09 € / KG;8711327666481;;;https://www.carrefour.fr/p/glace-brookies-cream-ben-jerry-s-8711327666481?t=2074
Glace Dessert Glacé Cookie Dough BEN & JERRY'S;5,55 €;37.00 € / KG;8711327648036;;;https://www.carrefour.fr/p/glace-dessert-glace-cookie-dough-ben-jerry-s-8711327648036?t=2074
Glace Cône Vanille Reine des neiges MAX;4,49 €;29.54 € / KG;8711327543751;;;https://www.carrefour.fr/p/glace-cone-vanille-reine-des-neiges-max-8711327543751?t=2074
Glace Bâtonnet Twister Sweet et Sour MIKO;3,99 €;11.47 € / KG;8711327628557;;;https://www.carrefour.fr/p/glace-batonnet-twister-sweet-et-sour-miko-8711327628557?t=2074
Glace Pêche et Hibiscus RAFFAELLO;3,89 €;28.19 € / KG;8000500443866;U;;https://www.carrefour.fr/p/glace-peche-et-hibiscus-raffaello-8000500443866?t=2074
Glace Sandwich Disney le Roi Lion MIKO;3,75 €;24.67 € / KG;8711327633353;;;https://www.carrefour.fr/p/glace-sandwich-disney-le-roi-lion-miko-8711327633353?t=2074
Frites Waffle Assaisonnées LAMB WESTON;2,30 €;3.83 € / KG;8711571093262;;Ouvrir description de la promotion PROMO : 34%;https://www.carrefour.fr/p/frites-waffle-assaisonnees-lamb-weston-8711571093262?t=2074
Frites Rustiques LAMB WESTON;2,30 €;3.07 € / KG;8711571093354;C;Ouvrir description de la promotion PROMO : 34%;https://www.carrefour.fr/p/frites-rustiques-lamb-weston-8711571093354?t=2074
Frites Ziggy LAMB WESTON;2,30 €;3.07 € / KG;8711571093293;C;Ouvrir description de la promotion PROMO : 34%;https://www.carrefour.fr/p/frites-ziggy-lamb-weston-8711571093293?t=2074
Pizza 4 Fromages RISTORANTE GRANDISSIMA;3,67 €;6.55 € / KG;4001724046462;C;Ouvrir description de la promotion PROMO : 20%;https://www.carrefour.fr/p/pizza-4-fromages-ristorante-grandissima-4001724046462?t=2074
Pizza à la mozzarella Ristorante DR. OETKER;2,75 €;7.75 € / KG;4001724039112;B;;https://www.carrefour.fr/p/pizza-a-la-mozzarella-ristorante-dr-oetker-4001724039112?t=2074
Pizza Végétales aux légumes Ristorante DR. OETKER;2,95 €;7.66 € / KG;4001724039143;B;;https://www.carrefour.fr/p/pizza-vegetales-aux-legumes-ristorante-dr-oetker-4001724039143?t=2074
Pizza aux 4 fromages Ristorante DR. OETKER;2,75 €;8.09 € / KG;4001724038870;C;;https://www.carrefour.fr/p/pizza-aux-4-fromages-ristorante-dr-oetker-4001724038870?t=2074
Pizza jambon salami Ristorante DR OETKER;2,75 €;7.97 € / KG;4001724039051;C;;https://www.carrefour.fr/p/pizza-jambon-salami-ristorante-dr-oetker-4001724039051?t=2074
Pizza au thon Ristorante DR. OETKER;2,75 €;7.75 € / KG;4001724038993;B;;https://www.carrefour.fr/p/pizza-au-thon-ristorante-dr-oetker-4001724038993?t=2074
Pizza Bolognaise Ristorante DR. OETKER;2,95 €;7.87 € / KG;4001724039419;B;;https://www.carrefour.fr/p/pizza-bolognaise-ristorante-dr-oetker-4001724039419?t=2074
Pizza Royale RISTORANTE GRANDISSIMA;4,59 €;7.91 € / KG;4001724046431;B;;https://www.carrefour.fr/p/pizza-royale-ristorante-grandissima-4001724046431?t=2074
Pate fraiche raviole du Dauphiné SAINT JEAN;14,99 €;14.99 € / KG;3266140059873;U;;https://www.carrefour.fr/p/pate-fraiche-raviole-du-dauphine-saint-jean-3266140059873?t=2074
Pâtes Ravioles du Dauphiné Label Rouge SAINT JEAN;7,55 €;15.10 € / KG;3266140051655;U;;https://www.carrefour.fr/p/pates-ravioles-du-dauphine-label-rouge-saint-jean-3266140051655?t=2074
Pâtes cuisinées Ravioles du Dauphiné Label Rouge IGP SAINT JEAN;22,35 €;12.42 € / KG;3266140053581;U;;https://www.carrefour.fr/p/pates-cuisinees-ravioles-du-dauphine-label-rouge-igp-saint-jean-3266140053581?t=2074
Donut au Nutella NUTELLA;4,89 €;20.38 € / KG;8000500450918;U;;https://www.carrefour.fr/p/donut-au-nutella-nutella-8000500450918?t=2074
Muffins Fourrés à la Pâte à Tartiner aux Noisettes et au Cacao NUTELLA;4,89 €;18.52 € / KG;8000500431269;U;;https://www.carrefour.fr/p/muffins-fourres-a-la-pate-a-tartiner-aux-noisettes-et-au-cacao-nutella-8000500431269?t=2074
Croissant fourrée à la pâte à tartiner aux noisettes et au cacao NUTELLA;4,69 €;13.79 € / KG;8000500413654;U;;https://www.carrefour.fr/p/croissant-fourree-a-la-pate-a-tartiner-aux-noisettes-et-au-cacao-nutella-8000500413654?t=2074
Crêpe Cuites Fourrées à la Pâte à Tartiner aux Noisettes et au Cacao NUTELLA;4,89 €;20.38 € / KG;8000500436967;U;;https://www.carrefour.fr/p/crepe-cuites-fourrees-a-la-pate-a-tartiner-aux-noisettes-et-au-cacao-nutella-8000500436967?t=2074
Sorbet mangue passion et éclats de noix de pécan CHARLES & ALICE;3,62 €;11.79 € / KG;3297760082019;C;Ouvrir description de la promotion PROMO : 34%;https://www.carrefour.fr/p/sorbet-mangue-passion-et-eclats-de-noix-de-pecan-charles-alice-3297760082019?t=2074
Sorbet fraise fruits rouges et éclats d’amandes CHARLES & ALICE;3,62 €;11.99 € / KG;3297760082002;C;Ouvrir description de la promotion PROMO : 34%;https://www.carrefour.fr/p/sorbet-fraise-fruits-rouges-et-eclats-d-amandes-charles-alice-3297760082002?t=2074
Sorbet citron fruits rouges et éclats de noisettes CHARLES & ALICE;3,62 €;11.68 € / KG;3297760082026;C;Ouvrir description de la promotion PROMO : 34%;https://www.carrefour.fr/p/sorbet-citron-fruits-rouges-et-eclats-de-noisettes-charles-alice-3297760082026?t=2074
